"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.fips","EVENTS.begin_lat","EVENTS.begin_lon"
"1","US10adam046",2011-10-18,343464,39,39.53,-81.93
"2","US10adam046",2011-10-18,343464,39,39.53,-81.93
"3","US10adam046",2011-10-18,343465,39,39.05,-82.28
"4","US10adam046",2011-10-18,343465,39,39.05,-82.28
"5","US10buff002",2011-07-05,331501,6,34.27,-116.85
"6","US10buff004",2011-12-03,356078,29,37.15,-89.45
"7","US10buff007",2011-08-18,341499,29,40.22,-94.55
"8","US10buff008",2011-07-22,331731,38,47.45,-101.92
"9","US10buff013",2011-07-22,331727,38,47.6,-103.26
"10","US10clay008",2011-02-28,286247,48,33.6764,-96.3913
"11","US10clay008",2011-04-19,293990,39,39.75,-84.63
"12","US10clay029",2011-04-19,294004,39,39.85,-82.6
"13","US10cumi007",2011-03-27,282881,15,19.2207,-155.4263
"14","US10deue012",2011-06-04,308611,15,21.1435,-156.9672
"15","US10dodg005",2011-04-06,288721,15,21.4085,-157.7499
"16","US10fran001",2011-04-27,296572,17,38.2,-88.68
"17","US10fran002",2011-07-30,337348,40,35.98,-97.91
"18","US10fran009",2011-07-24,330959,31,40.5391,-98.4339
"19","US10furn004",2011-07-19,329703,55,45.1,-90.69
"20","US10furn008",2011-04-23,296534,29,37.3,-89.98
"21","US10furn008",2011-07-19,329637,55,44.95,-90.32
"22","US10furn014",2011-07-06,331502,6,32.9384,-116.5684
"23","US10furn018",2011-07-05,331500,6,34.4896,-117.1901
"24","US10gosp002",2011-02-24,276052,21,37.7,-83.97
"25","US10gosp004",2011-01-01,272733,28,31.87,-89.26
"26","US10gree007",2011-06-19,315082,17,37.15,-88.73
"27","US10gree011",2011-05-25,313673,31,40.1091,-99.8835
"28","US10gree012",2011-09-04,331041,21,38.28,-84.46
"29","US10harl004",2011-07-12,338355,22,29.9,-90.08
"30","US10harl008",2011-07-24,330960,31,40.5493,-98.4204
"31","US10harl009",2011-09-24,342885,29,37.3,-89.53
"32","US10harl014",2011-07-22,326735,21,37.67,-82.9
"33","US10haye003",2011-04-12,304670,21,38.07,-86.3
"34","US10hook001",2011-07-15,311056,19,43.45,-93.38
"35","US10nuck011",2011-04-23,291596,29,36.5333,-93.1999
"36","US10phel003",2011-07-05,333180,31,41.2111,-97.4656
"37","US10phel011",2011-07-05,333179,31,40.9416,-97.4852
"38","US10phel013",2011-07-05,333181,31,41.18,-97.55
"39","US10phel014",2011-07-28,330680,55,44.0881,-91.6672
"40","US10polk013",2011-08-16,323534,19,41.06,-94.36
"41","US10polk014",2011-07-28,332713,17,42.38,-89.83
"42","US10sali002",2011-02-01,288346,1,32.6356,-86.3196
"43","US10shem003",2011-07-23,314730,27,44.45,-93.17
"44","US10thay018",2011-04-23,294408,39,39.07,-83.85
"45","US10webs002",2011-09-25,345425,21,37.07,-88.77
"46","US10webs013",2011-02-24,278897,17,37.15,-88.73
"47","US10webs013",2011-04-19,294005,39,39.72,-82.95
"48","US10webs013",2011-05-19,318187,20,39.4685,-97.983
"49","US10webs019",2011-06-25,318757,38,48.81,-100.06
"50","US10york032",2011-05-19,306398,31,40.2868,-98.07
"51","US1ALDK0008",2011-08-01,318308,27,44.97,-94.05
"52","US1ALFY0002",2011-07-18,331359,8,39.4604,-107.2982
"53","US1ALMC0001",2011-08-23,339673,19,41.79,-90.26
"54","US1AZMR0271",2011-07-31,322023,4,33.62,-112.12
"55","US1AZPN0025",2011-11-21,348835,5,34.73,-92.23
"56","US1CASF0003",2011-11-21,348837,5,35.27,-93.1
"57","US1CASN0045",2011-11-01,351639,15,21.3164,-157.8557
"58","US1COEG0006",2011-09-17,336530,29,36.75,-93.96
"59","US1COGF0050",2011-11-27,350666,1,34.57,-85.58
"60","US1FLFR0001",2011-08-29,342271,31,40.1,-99.35
"61","US1FLGF0002",2011-08-10,335033,40,36.05,-95.8158
"62","US1FLLE0006",2011-08-05,332297,38,46.89,-103.2
"63","US1FLLE0006",2011-08-05,332297,38,46.89,-103.2
"64","US1FLLE0006",2011-08-05,332296,38,46.89,-103.2
"65","US1FLLE0006",2011-08-05,332296,38,46.89,-103.2
"66","US1FLSW0001",2011-07-19,326684,21,37.58,-83.72
